n,A225114,connected_A006958
131,22828528962844991022235081947553269272192207482628116198008578308,121721997384149277710878456778596809636593743235
132,71429172056150443728048841339067889954813012412121358508920155784,281072961817012622429537692351588641729931393600
133,223497827167541420821642500574841872606241268295107229169901462201,649036423673372383355017374898308012185627719252
134,699312022115355553249211900938218264400220506490060749878037413535,1498715054381386115180667751895860051475959198203
135,2188107645039738442897348707643497934524910360370169259981664208648,3460740772477469848289403256144803036905893647491
136,6846464689393788634686926998125425900876247107723657724697042629392,7991330079240114440681235077253804146138004600713
137,21422199611328857557093268383930801847758666621698768796738016934566,18453088698016188854373225976951130445740504279192
138,67028847296699036188190317093416082988776360712183847647085532428680,42610739278739952809601368042792188367099415495355
139,209729460626825758194987219807639716730986723994215261908169364869217,98394102558882034263494139794078458822858027274499
140,656231584292595356409738118446997981485350670580644517146205332674255,227205619574833292719080274618278939163889980355294
141,2053311399057153010248613320738487339182644829457925369984778789062179,524649264781814067904396841098157758671185284847043
142,6424694882741588930935932695534786678323155729876215429586877332001302,1211487865270156406433572329675943314825192088755035
143,20102505813428760116689990612381663955388438761380055883415873470346146,2797493385046892885503778392765789716864402238313577
144,62899600269653933913495358377185909212820547316093199705960790253964689,6459799939998546300695426620887725043836685096610744
145,196809280932496714588839050957635453505323701943368881763556914242956942,14916573346644657470954541469353128859761079992741958
146,615805074994310836231533980214818312706573655361767437857570584276070058,34444435194982194520560572749538378610245065287982010
147,1926819144869572567716444224960963766436054458903749549923215057361080821,79536974634204569662872488606590399155104761275199333
148,6028907795328270592273573890384627068527736524138078207905025830140954363,183661897724590380709633039725153909615485866003366376
149,18864110470020467738958813615913208390280001824229291219012555855648992368,424100776160169822714745547418464860599896273413826921
150,59024731494630487828027856595432030049686034637257518872559467182577100205,979307469692865559040400870171856556111922944693573824
151,184685036357796739325487320243818874554690414843549067826153629903724860613,2261356673004629677999821483172511966422259394113000528
152,577869001531732137257905433720756141138732779464188892774471757860140128754,5221785966920438122705512701600982223211743635269168114
153,1808119323128820469620945880819167733174774987935527923458177752218681464725,12057827502327577778600210352273125138722123240165215746
154,5657502786974288384081937183048498236718919010967831027925371679137911550778,27843194837346455634791462343046642438923388155128706031
155,17702005268786931524658918957935851659544290186756800530643129376894663785481,64293795760537087608757373499055388235261761670960734991
156,55388570246511557477944750839056876465903109252802893680250563525543540201953,148463285102364736146398484232958279208595486357623404989
157,173307694092838753027800840193775163455576059120946727758406815913720605699683,342822301322498701285849519624778371969624105863053341456
158,542269943024367088415052137349032696607963451434877564119172057093530775048081,791624206638157654621757525238662091490936546689805488072
159,1696731888603444550661190178017291748127972436428255245604337646259661808912609,1827970006962804256009580830554901867965942303181165841284
160,5308977823383523648187068470162202081772615360463455762188015727569533217926491,4221036090528424478964073149832542101269006652022107373804
161,16611490429626406029254118754988763602418592731386124249454157432340105774064278,9746957340480056915559043237128067760519072825860930279947
162,51976411179978571314748030352003206735415612596917638599416173463248822543408832,22507075362448458615826583331822395026506393867300091926670
163,162631241946359142653683516518793743048356756239938787868507266090861051966986487,51971956342427668582899560343270154175858664918559773990442
164,508863929936035837392255167953252256069458042053050060490704307450004977730424204,120010450161187310571852058229105690251611124022711075380106
165,1592206368782168584621398430712987714130613874806646261546556885717648059297916264,277120762070163510998398462236534274604175189091290341453487
166,4981923401623619865805864999654872426507351612012222896211005475276521587835481530,639910246709372088809032989193834542392966214740581521157026
167,15588155697825028374673947450740206634031359377593841568561616539907634364623392631,1477641446944249309979491180766273687649551675528776370081210
168,48774454858226789170570740036366123999763106527727752222226162821192934533646212915,3412078892243680713755426786057560977779132570738075905771782
169,152612502263441639768944353954554765504348781670740185235745670788231173701838787411,7878963053568245592482136667799044929701845338350823154377031
170,477515861833985363359371561077216527730379980341358378129658229677534764365258645273,18193617662419518032628441995812119798661269441446606931128495
